,Latitude,Longitude
autoweedhsc-20210627-120020.497496.jpg,-18.8031088083,146.134773163
autoweedhsc-20210627-120020.550917.jpg,-18.8031088083,146.134773163
autoweedhsc-20210627-120020.605976.jpg,-18.8030818417,146.134764265
autoweedhsc-20210627-120020.659111.jpg,-18.8030818417,146.134764265
autoweedhsc-20210627-120020.711489.jpg,-18.8030818417,146.134764265
autoweedhsc-20210627-120020.764679.jpg,-18.8030549283,146.134755120
autoweedhsc-20210627-120020.872120.jpg,-18.8030549283,146.134755120
autoweedhsc-20210627-120020.977694.jpg,-18.8030283200,146.134746092
autoweedhsc-20210627-120021.353707.jpg,-18.8029754817,146.134727373
autoweedhsc-20210627-120021.409607.jpg,-18.8029754817,146.134727373
autoweedhsc-20210627-120021.465606.jpg,-18.8029754817,146.134727373
autoweedhsc-20210627-120021.791954.jpg,-18.8029234100,146.134708708
autoweedhsc-20210627-120021.955703.jpg,-18.8028977517,146.134699525
autoweedhsc-20210627-120022.009996.jpg,-18.8028977517,146.134699525
autoweedhsc-20210627-120022.065683.jpg,-18.8028977517,146.134699525
autoweedhsc-20210627-120022.125885.jpg,-18.8028977517,146.134699525
autoweedhsc-20210627-120022.179328.jpg,-18.8028724217,146.134690348
autoweedhsc-20210627-120022.231007.jpg,-18.8028724217,146.134690348
autoweedhsc-20210627-120022.284552.jpg,-18.8028724217,146.134690348
autoweedhsc-20210627-120022.336555.jpg,-18.8028724217,146.134690348
autoweedhsc-20210627-120022.402236.jpg,-18.8028473800,146.134681293
autoweedhsc-20210627-120022.477109.jpg,-18.8028473800,146.134681293
autoweedhsc-20210627-120022.641616.jpg,-18.8028227917,146.134672603
autoweedhsc-20210627-120022.759302.jpg,-18.8027987933,146.134664203
autoweedhsc-20210627-120022.857349.jpg,-18.8027987933,146.134664203
autoweedhsc-20210627-120023.759291.jpg,-18.8027089400,146.134633848
autoweedhsc-20210627-120025.402592.jpg,-18.8025487617,146.134583828
autoweedhsc-20210627-120025.529622.jpg,-18.8025487617,146.134583828
autoweedhsc-20210627-120025.605018.jpg,-18.8025347067,146.134579628
autoweedhsc-20210627-120025.687336.jpg,-18.8025347067,146.134579628
autoweedhsc-20210627-120025.764774.jpg,-18.8025214317,146.134575712
autoweedhsc-20210627-120031.522266.jpg,-18.8023803817,146.134535848
autoweedhsc-20210627-120032.211739.jpg,-18.8023751850,146.134534623
autoweedhsc-20210627-120033.295015.jpg,-18.8023722600,146.134533982
autoweedhsc-20210627-120035.567387.jpg,-18.8023720733,146.134533805
autoweedhsc-20210627-120035.639641.jpg,-18.8023720733,146.134533805
autoweedhsc-20210627-120036.369763.jpg,-18.8023718817,146.134533875
autoweedhsc-20210627-120036.816323.jpg,-18.8023718417,146.134533882
autoweedhsc-20210627-120037.622141.jpg,-18.8023717233,146.134533837
autoweedhsc-20210627-120038.000654.jpg,-18.8023716717,146.134533842
autoweedhsc-20210627-120039.152036.jpg,-18.8023714017,146.134533778
autoweedhsc-20210627-120039.436416.jpg,-18.8023713017,146.134533798
autoweedhsc-20210627-120039.651189.jpg,-18.8023712733,146.134533757
autoweedhsc-20210627-120040.872137.jpg,-18.8023709933,146.134533557
autoweedhsc-20210627-120041.012596.jpg,-18.8023709850,146.134533478
autoweedhsc-20210627-120041.321187.jpg,-18.8023709117,146.134533432
autoweedhsc-20210627-120042.069543.jpg,-18.8023705917,146.134533345
autoweedhsc-20210627-120042.137287.jpg,-18.8023705917,146.134533345
autoweedhsc-20210627-120042.205527.jpg,-18.8023705000,146.134533342
autoweedhsc-20210627-120044.519363.jpg,-18.8023630667,146.134531185
autoweedhsc-20210627-120046.403893.jpg,-18.8022999083,146.134520053
autoweedhsc-20210627-120046.461587.jpg,-18.8022999083,146.134520053
autoweedhsc-20210627-120046.518846.jpg,-18.8022999083,146.134520053
autoweedhsc-20210627-120046.576244.jpg,-18.8022904800,146.134519093
autoweedhsc-20210627-120046.807481.jpg,-18.8022807600,146.134517750
autoweedhsc-20210627-120047.037974.jpg,-18.8022706933,146.134516528
autoweedhsc-20210627-120047.163948.jpg,-18.8022601667,146.134515023
autoweedhsc-20210627-120047.931359.jpg,-18.8022271317,146.134510295
autoweedhsc-20210627-120048.048564.jpg,-18.8022161383,146.134508488
autoweedhsc-20210627-120048.221839.jpg,-18.8022049833,146.134506643
autoweedhsc-20210627-120048.278412.jpg,-18.8022049833,146.134506643
